#{"t_start": 1764171509.402157, "env_id": "CityDrone-v0"}
r,l,t
-174.736392,105,1.286215
-81.113167,80,1.469
-57.027912,27,1.526896
-65.25802,46,1.617898
-60.180363,25,1.664022
-52.150612,29,1.719603
-70.306573,37,1.785369
-164.185694,192,2.214269
-95.496775,86,2.424831
-57.023106,8,2.439093
-50.445604,18,2.476049
-58.472136,40,2.554457
-47.778063,20,2.592613
-49.207676,33,2.657602
-47.376894,11,2.676894
-52.788198,12,2.702027
-58.959693,56,2.804402
-50.980437,20,2.843494
-49.608883,35,2.910854
-48.937824,26,2.965884
-63.027864,30,3.023158
-47.848121,6,3.03588
-68.936068,50,3.127407
-63.014214,44,3.324902
-55.1,16,3.373974
-83.101754,63,3.514618
-51.421505,9,3.536107
-74.232944,105,3.796981
-62.323106,25,3.85023
-50.569669,6,3.860157
-88.98975,113,4.098938
-45.130763,9,4.115597
-49.0,10,4.133111
-70.541657,33,4.188879
-47.467669,11,4.21298
-50.462278,9,4.22654
-130.546211,65,4.350657
-49.076894,15,4.380558
-173.849876,68,4.560133
85.1,30,4.624757
-43.869811,9,4.642481
-57.302427,36,4.706221
-49.402427,12,4.728703
-53.919535,11,4.751631
-41.460615,22,4.789502
-68.162531,91,4.988446
99.7,8,5.013507
-44.548346,8,5.036818
-49.021951,17,5.093593
-42.344214,30,5.149355
-55.736068,15,5.179949
-47.141935,12,5.206246
-47.314214,7,5.224056
-54.201961,46,5.307976
-49.315773,8,5.321696
-67.947448,28,5.380352
-44.942006,6,5.391897
-85.976961,23,5.469178
-54.711608,35,5.550588
-55.6,29,5.630579
-45.983246,5,5.642137
-39.157864,16,5.675493
-46.91989,6,5.690423
-55.762278,20,5.731844
-45.785165,17,5.760818
-45.884227,5,5.76979
-51.0953,13,5.795382
-47.742641,14,5.823683
-46.448549,13,5.845642
-58.505551,14,5.873091
-253.78909,110,6.086193
-48.75912,10,6.106293
-41.276506,14,6.134232
-45.450124,5,6.143664
-46.038759,5,6.152451
-43.958713,14,6.177307
-45.205011,6,6.188302
-43.820295,17,6.2188
-47.912402,33,6.419555
-54.693473,8,6.437875
-52.144615,36,6.504426
-48.08975,35,6.570215
-54.362278,4,6.578928
-59.759952,31,6.639959
-51.609029,23,6.699963
-47.276207,34,6.804897
-47.893427,7,6.82178
-47.145665,14,6.851952
-98.024107,23,6.900281
-46.875445,6,6.91095
-51.362278,15,6.939352
-49.762278,28,6.994441
-52.916706,34,7.061453
-44.895835,6,7.072392
-59.128932,39,7.143726
-46.8,16,7.171856
-46.023106,7,7.184164
-41.091796,15,7.211807
-44.028132,6,7.222836
-50.759878,14,7.251873
-37.342934,25,7.300241
-37.394473,22,7.342928
-92.336551,197,7.938609
-48.666989,9,7.963775
-51.986763,18,8.014284
-48.662278,11,8.048769
-155.2,205,8.465964
-60.963932,34,8.526823
-68.674179,111,8.746028
-47.662258,8,8.762688
97.171068,14,8.791856
-42.60645,8,8.811019
-51.3,9,8.826536
-46.642006,10,8.847817
-45.989778,15,8.884409
-49.740922,37,8.967733
-50.0,10,8.993913
-46.279214,13,9.038981
-43.765,13,9.105955
-47.036068,13,9.143088
-46.822907,8,9.158485
-44.801961,15,9.184503
-46.330295,9,9.202692
-60.501961,81,9.359928
-47.680957,15,9.390214
-44.548346,8,9.408043
-45.671573,5,9.417764
-46.376522,6,9.428551
-52.756854,13,9.454235
-261.25231,138,9.712872
-47.89902,19,9.748315
-50.7,5,9.757003
-45.996876,8,9.773726
-45.627864,9,9.788595
-39.807895,33,9.857069
-44.928132,12,9.887039
-44.017237,6,9.906449
-47.712962,5,9.916573
-53.053305,13,10.013695
-46.146277,18,10.052387
-106.186292,44,10.172102
-47.51608,22,10.224994
-59.285165,28,10.29937
-55.075445,26,10.350144
-47.762278,8,10.364389
-66.639859,42,10.450622
-44.533905,22,10.49319
-47.059153,6,10.50402
-44.378726,6,10.519288
-49.123106,21,10.56123
-44.280383,6,10.571654
-46.142078,6,10.583015
-52.336068,7,10.597737
-43.255958,11,10.618616
-43.16772,6,10.629242
-44.676894,7,10.641036
-50.345946,19,10.676111
-45.460731,4,10.683947
-48.122789,8,10.699862
-46.2,9,10.713435
-49.375445,16,10.745484
-49.596876,35,10.810983
-48.062278,7,10.822567
-51.319535,12,10.845535
-57.536068,24,10.892048
-41.442741,12,10.918922
-54.022789,29,10.972359
-45.99902,7,10.988518
-61.662258,25,11.038018
-51.516625,18,11.075938
-42.433931,8,11.092965
-45.928675,4,11.101869
-57.79902,17,11.134846
-42.72027,10,11.161585
-47.173615,9,11.188984
-41.262278,20,11.251841
-44.322873,6,11.269752
-51.875445,15,11.366944
-56.588897,24,11.470925
-45.268859,6,11.48368
-56.660848,19,11.520257
-48.023106,10,11.540051
-45.883527,7,11.5525
-81.095302,77,11.700912
-44.090645,10,11.719184
-45.197675,18,11.750597
-45.789857,38,11.82782
-47.188897,11,11.849036
-48.457346,5,11.858002
-45.323106,6,11.869415
-47.612382,5,11.881402
-50.889857,47,11.974272
-47.982763,10,11.994876
-40.37021,24,12.050692
