#{"t_start": 1764239192.7362602, "env_id": "CityDrone-v0"}
r,l,t
-29.161456,21,1.078234
-50.05,1,1.08059
-51.619237,42,1.206686
-53.25,5,1.222241
-50.6,22,1.313298
-52.15,3,1.318762
-51.105903,21,1.357906
-40.105461,29,1.414996
-52.2,4,1.425325
-50.05,1,1.427205
-31.237022,22,1.471636
513.642136,40,1.541225
-50.05,1,1.542716
-413.935141,127,1.776406
-45.571131,9,1.795032
-50.05,1,1.796739
-50.2,4,1.805471
-50.05,1,1.806908
-32.329439,32,1.876243
-38.296657,252,2.444874
-52.5,30,2.500996
-51.7,4,2.508746
-46.380283,10,2.528952
513.294272,23,2.572987
-50.05,1,2.579317
-50.05,1,2.581033
-50.05,1,2.58249
-22.529437,20,2.619405
-36.994272,21,2.66287
-50.05,1,2.664376
-50.2,4,2.675443
-132.859278,209,3.164007
416.932137,76,4.191602
-52.47033,4,4.200252
-42.0784,15,4.230252
-69.888007,56,4.404097
-123.698905,32,4.477402
-51.651961,57,4.585794
-49.65,3,4.592264
-48.833315,27,4.64216
-100.795326,208,5.017083
-45.46011,5,5.026419
-47.287104,3,5.030208
-44.15,3,5.036911
-47.493752,16,5.062971
-47.936135,8,5.079339
-46.5,20,5.113267
-50.05,1,5.11579
-50.05,1,5.117921
-25.497454,35,5.186786
-44.723379,3,5.193154
-51.15,3,5.196658
502.4,2,5.202118
511.1,28,5.321585
-50.05,1,5.324662
-50.05,1,5.340496
-44.154854,15,5.379884
-44.644109,25,5.434729
-29.386889,16,5.465731
-51.7,4,5.474606
-45.991892,4,5.479534
-33.479316,16,5.518053
-53.2,54,5.631875
-50.05,1,5.637629
-33.654238,31,5.709545
-47.125834,17,5.747096
-50.05,1,5.748647
-45.757671,3,5.756261
-26.678427,17,5.792865
-50.05,1,5.799455
-46.461103,5,5.811366
-35.999795,25,5.86905
-237.414081,299,7.84762
-47.505728,9,7.871446
-44.371573,4,7.882224
-47.178344,2,7.886574
-273.554845,405,8.738695
505.2094,84,8.951202
-47.043146,4,8.960349
-31.638096,16,8.991277
-50.6,2,8.996786
-35.721573,111,9.1849
-28.740763,12,9.205206
-50.6,2,9.210482
-50.9,8,9.222902
-44.489963,21,9.257273
-29.650423,16,9.288538
-50.05,1,9.290788
-51.019958,5,9.300419
-53.442423,9,9.315926
-30.2906,14,9.339454
505.35,3,9.346459
-34.848476,44,9.426166
-30.62036,19,9.461
-44.22033,49,9.546522
-34.411807,36,9.612915
537.970499,93,11.333653
518.1,8,11.361188
-30.161844,19,11.42704
-47.555419,4,11.436952
549.6,118,11.674307
-50.05,1,11.676455
-50.05,1,11.678056
-51.061103,57,11.778193
-49.65,3,11.78277
-43.698039,100,11.984178
-41.725445,21,12.022352
-50.05,1,12.023923
-29.178427,17,12.050494
-50.05,1,12.051948
-46.209278,6,12.064601
-28.340763,14,12.090305
-25.18978,55,12.187465
519.12033,23,12.236932
-20.554056,87,12.456484
-27.710401,30,12.516257
-24.484888,35,12.58237
-29.056951,27,12.63707
-50.05,1,12.639221
-19.862017,80,12.786968
-28.772136,26,12.847912
-45.343752,3,12.855317
-46.862985,33,12.918057
-42.1768,15,12.956734
-31.583827,26,13.010152
-42.696211,159,14.09944
-42.199713,21,14.146432
-41.318454,21,14.207416
-50.05,1,14.209836
521.87033,38,14.308797
-50.724515,2,14.312305
-50.05,1,14.314156
-46.703922,12,14.342346
-45.449713,16,14.369307
-32.914719,18,14.402976
-38.503592,25,14.446675
-33.611916,14,14.472218
522.649111,120,14.683854
523.05,9,14.701417
535.440722,33,14.762456
-52.406854,5,14.7715
518.244272,24,14.812123
-42.087674,399,15.657444
-44.7,54,15.771666
-47.310911,5,15.781326
-41.0,90,15.963339
-19.299869,121,17.785799
542.490722,72,17.978886
-49.65,3,17.982431
-30.795395,9,18.005815
-44.73923,17,18.034055
-21.976334,29,18.091391
-50.05,1,18.092855
-20.561103,357,18.750906
-38.743146,18,18.80316
-50.05,1,18.812074
-42.05,31,18.888649
504.8,4,18.899746
-33.589708,17,18.937483
-42.546491,17,18.969573
548.267962,102,19.141875
-35.633592,41,19.215688
-48.122136,3,19.223469
10.392072,308,21.366236
540.34126,65,21.644031
-24.325609,29,21.698022
-48.6,12,21.716747
502.95,1,21.721466
-36.471007,13,21.74134
-29.618454,17,21.772756
527.638007,19,21.806046
-45.503922,3,21.813322
-22.450249,11,21.833161
539.313111,72,21.973847
512.761103,9,21.986689
-49.25,5,21.995534
-23.680119,12,22.017063
-50.05,1,22.018516
-35.229926,7,22.029499
-47.500889,3,22.038139
-39.2,304,22.665403
518.815525,7,22.676622
-17.438688,66,22.792943
-45.298928,5,22.802513
542.253509,41,22.87773
-28.644531,15,22.91041
508.224555,2,22.914205
-35.186587,12,22.94381
540.966092,24,22.984229
-9.346491,103,23.168179
-83.824515,24,23.210728
-25.576334,11,23.230843
-21.6,32,24.530364
532.103509,24,24.578882
-50.05,1,24.580996
-43.871573,14,24.614734
-52.361103,3,24.62809
-25.186889,22,24.695174
-48.738084,73,24.970592
-50.05,1,24.972136
-45.328797,3,24.975637
-50.05,1,24.98012
-31.042752,19,25.00945
-15.287167,41,25.080381
-50.05,1,25.081876
-31.587022,9,25.097664
-50.05,1,25.099123
-31.068454,46,25.178924
511.8,4,25.186376
534.94899,27,25.229916
532.116092,21,25.264179
-25.24042,20,25.299367
-29.04059,26,25.347115
-45.411033,3,25.350631
-32.932133,22,25.390994
-31.604737,9,25.403902
-46.891373,3,25.410699
523.922205,10,25.42828
539.703509,32,25.487427
525.531546,14,25.51341
507.322136,3,25.519753
-23.464264,18,25.553371
-29.133188,9,25.576605
-26.767657,11,25.60099
-50.05,1,25.60669
-20.087167,17,25.642813
526.51077,12,25.670664
-38.934475,12,25.706367
537.6594,15,25.755018
-45.583007,3,25.760621
-47.78932,3,25.773411
-35.043009,9,25.806969
-34.000751,10,25.847802
-35.917307,10,25.876107
-50.05,1,25.878479
-45.903789,3,25.887064
-32.127031,13,25.910303
-29.394622,9,25.931158
504.95,1,25.932645
-52.311103,12,25.958753
-50.05,1,25.960499
-46.753879,3,25.965705
532.9094,10,25.98804
-66.9406,17,26.022099
525.6,8,26.036591
-50.05,1,26.042094
-33.139395,9,26.054851
-26.73923,17,26.091817
-25.15874,15,26.117089
-47.500889,3,26.120633
520.09126,10,26.146724
-44.121573,9,26.167895
-34.574803,10,26.189138
-47.650889,6,26.203308
-44.15,3,26.212162
-36.910232,12,26.23807
527.6,8,26.260635
-50.821573,3,26.267007
-50.05,1,26.268442
-34.491326,9,26.284358
517.42033,7,26.295919
533.59899,24,26.338085
-45.989274,3,26.341782
532.524555,136,26.588505
-40.45,49,27.559958
-27.167657,9,27.579561
528.21068,23,27.625199
-44.683661,3,27.629231
516.1,8,27.651573
-48.557864,4,27.664739
-44.7,4,27.67795
-28.522067,70,27.852978
531.670499,39,27.924291
-15.109891,403,28.717728
530.574515,31,28.801749
512.02681,31,28.86278
-39.807262,10,28.880557
522.542136,12,28.902127
-45.503789,5,28.912206
-24.29352,12,28.934332
-50.2,4,28.943392
-28.665729,19,28.97704
-48.194272,15,29.001552
-47.060589,3,29.005622
516.435281,21,29.044059
530.549751,11,29.061928
524.366408,21,29.096687
-24.760911,14,29.120465
-49.25,5,29.129309
504.8,4,29.136591
-25.434928,23,29.1759
-23.392195,13,29.198712
-50.05,1,29.200324
-47.37967,3,29.208545
505.9,2,29.211038
-25.753028,14,29.23508
-46.493146,3,29.238572
519.215525,9,29.254118
-46.686135,3,29.260717
-28.590763,9,29.27769
534.840659,14,29.30119
-58.76077,23,29.342391
578.994272,279,29.970231
-36.498039,46,30.049384
-25.160911,12,30.069793
502.95,1,30.07692
531.404651,26,30.12014
-36.504076,28,30.17141
-37.528427,24,30.212837
523.6,8,30.227615
