#{"t_start": 1764171082.733923, "env_id": "CityDrone-v0"}
r,l,t
-50.1,1,1.130549
-48.595506,4,1.133151
96.9,9,1.137793
-51.1,10,1.143032
-50.8,2,1.166404
-53.850612,29,1.181653
-53.6,6,1.18529
-54.279238,12,1.191378
-220.600799,237,1.31586
-80.237941,52,1.344352
-58.212962,22,1.357266
-52.536711,3,1.35898
-50.1,1,1.364452
-48.50645,15,1.375707
-53.2,4,1.378
-51.924038,8,1.382674
-61.636068,13,1.396645
-203.414895,220,1.529001
-46.383807,9,1.533841
-58.870256,18,1.542606
-64.361781,22,1.555717
-49.557346,5,1.558174
-51.8,2,1.559364
-50.8,2,1.560573
-50.8,2,1.563357
-50.1,1,1.564232
-53.936711,5,1.566783
-53.2,4,1.568922
-49.918303,4,1.5734
-55.6,6,1.576943
-59.866611,34,1.593993
-52.730517,13,1.600522
-56.3,10,1.607626
-51.508782,8,1.612928
-50.1,1,1.61665
-50.8,2,1.618152
-83.521063,77,1.663077
-52.558722,3,1.664854
-92.42621,85,1.720803
-51.887351,7,1.724391
-53.244632,4,1.727736
-51.1,4,1.730383
-53.2,4,1.732686
-53.2,4,1.73472
-80.569007,50,2.395667
-53.5,6,2.399316
-48.496641,12,2.40872
-56.6,9,2.413797
-108.390393,135,2.491167
-163.268511,239,2.622164
-195.157346,229,2.729497
-57.3,7,2.732925
-51.582763,3,2.736279
-68.2,49,2.759288
-54.9,8,2.763248
-125.535841,64,2.792995
-60.177745,34,2.811316
-54.271068,4,2.813906
-57.362258,13,2.820468
-52.9,5,2.823541
-53.244632,4,2.827064
-56.2,7,2.83106
-51.730961,3,2.833144
-55.518233,7,2.836818
-51.5,3,2.840616
-50.8,2,2.841921
-113.770127,131,3.225606
-50.1,1,3.226683
-129.164102,156,3.307393
-75.842713,50,3.33116
-98.5,91,3.387339
-60.020505,17,3.397195
-52.982763,8,3.404963
-62.0,17,3.415415
-67.649684,37,3.447001
-50.8,2,3.44836
-51.546127,3,3.453442
-49.285786,5,3.45652
-50.1,1,3.457455
-55.9,11,3.463721
-50.1,1,3.465535
-52.563758,3,3.468581
-64.710098,34,3.493258
-49.184304,6,3.497354
-53.144632,7,3.503576
-131.27666,190,3.619119
-54.3,7,3.625304
-85.143769,68,3.67088
-50.1,1,3.673836
-53.671573,9,3.679188
-52.99902,5,3.683173
-50.1,1,3.684837
-50.1,1,3.687142
-53.6,6,3.690552
-212.999495,233,3.818269
-55.036106,8,3.823878
-50.8,2,3.826799
-71.486833,36,4.512104
-51.554074,3,4.514817
-54.464337,11,4.520046
-53.2,4,4.524008
-64.085786,33,4.54182
-50.8,2,4.543048
-50.8,2,4.544171
-52.265373,4,4.548271
-50.1,1,4.549297
-50.1,1,4.550137
-49.408782,5,4.55346
-55.96392,32,4.57354
-51.5,3,4.575129
-71.272212,41,4.596203
-58.374083,13,4.603272
-50.8,2,4.60655
-59.3,19,4.616534
-50.1,1,4.618102
-50.1,1,4.618916
-54.1,10,4.626416
-50.1,1,4.627442
-80.690537,85,4.678732
-51.5,3,4.682282
-60.1,11,4.690386
-76.227864,71,4.728472
-88.430295,111,4.798984
-49.780383,11,4.815419
-50.1,1,4.819375
-50.8,2,4.822454
-77.790816,63,4.86488
-52.2,4,4.867691
-57.576894,8,4.87384
-60.708527,24,4.885892
-50.8,2,4.887251
-190.893908,179,4.974649
-56.101018,8,4.980493
-51.8,2,4.981854
-55.249876,10,4.988515
-50.1,1,4.989752
-146.431448,223,5.178735
-50.1,1,5.179518
-63.615183,28,5.196777
-45.866375,7,5.200861
-70.458899,38,5.22422
-68.522907,43,5.245139
-54.5,6,5.24864
-236.552617,150,5.324726
-50.8,2,5.327543
-61.898039,15,5.335112
-49.987555,6,5.3389
-50.1,1,5.339694
-66.811689,42,5.364112
-51.8,2,5.366356
-54.637114,9,5.372981
-51.053311,7,5.376334
-50.893578,9,5.382945
-85.030094,67,5.42752
-50.297741,5,5.432598
-51.777401,3,5.435625
-53.271068,4,5.442238
-54.360413,7,5.449861
-52.5,3,5.452801
-127.430961,87,5.503486
-53.2,4,5.506932
-51.8,2,5.508113
-54.9,8,5.512163
-63.397792,31,5.527687
-50.8,2,5.530618
-58.387708,16,5.538602
-51.557733,5,5.541305
-50.8,2,5.542735
-54.6,6,5.547497
-52.362278,4,5.550208
-52.252852,4,5.552499
-50.1,1,5.553326
-52.546324,6,5.558138
-53.347775,5,5.56085
-50.1,1,5.561593
-54.543146,7,5.565574
-56.1,13,5.573799
-50.1,1,5.574623
-52.2,4,5.576617
-51.214214,2,5.577738
-110.03924,129,5.642954
-50.554824,21,5.654514
-50.1,1,5.65578
-159.601844,88,5.704499
-50.1,1,5.707977
-50.1,1,5.708765
-64.59902,25,5.726179
-50.8,2,5.730811
-50.308777,5,5.737611
-52.9,5,5.741353
-50.1,1,5.742104
-51.5,3,5.745141
-56.949876,11,5.753557
