#{"t_start": 1764239166.561068, "env_id": "CityDrone-v0"}
r,l,t
-49.000249,2,0.840649
-69.007874,177,0.932228
-48.42678,4,0.935114
-42.665021,50,0.959391
-123.171131,61,1.023444
-47.986302,3,1.026177
-46.772212,6,1.031139
-50.031907,11,1.039521
-55.896029,13,1.053582
524.523808,26,1.06984
-40.578984,17,1.078548
-164.556208,121,1.143165
-46.07319,23,1.156712
-53.689276,13,1.163113
-53.285887,29,1.177996
-51.173908,9,1.18245
-55.460766,72,1.220889
-73.400063,81,1.266142
-39.996058,5,1.269192
-160.25,415,1.975238
-57.288096,59,2.003833
-204.09352,198,2.088763
-50.839276,6,2.091707
-51.478588,13,2.097301
-48.650567,31,2.11267
-120.2,264,2.250855
-36.189883,55,2.284494
-47.55,11,2.289778
-50.515752,22,2.301775
-50.454226,18,2.310472
524.310292,119,2.368738
-57.240768,88,2.532391
-68.864113,124,2.61364
-60.681259,31,2.627278
-44.850889,10,2.631812
-49.270196,31,2.645363
-53.722977,12,2.65315
-56.16017,95,2.697947
-244.329024,192,2.784667
-51.00738,57,2.809502
-49.6,12,2.818167
-64.559341,72,2.87018
-61.036168,59,2.899754
-48.838096,50,2.926174
-49.968615,66,2.958159
-47.621636,2,2.959287
-69.429717,75,2.996358
-47.304313,12,3.002785
-245.073669,448,3.603737
-40.53932,8,3.607571
-54.008426,18,3.615218
-58.956412,34,3.629719
-59.096901,30,3.644461
-52.485972,15,3.651223
-29.182349,35,3.667552
-73.236467,96,3.709142
-51.181844,66,3.745625
-143.06017,367,3.988488
-100.855793,165,4.081639
-162.642897,434,4.299444
-75.257864,108,4.355209
-46.531241,34,4.373467
-99.875341,79,4.41947
-52.7,4,4.421496
-34.843771,5,4.425878
-55.495577,49,4.451481
-69.084502,80,4.486
-42.609278,14,4.5358
-42.597156,13,4.543023
-50.941966,9,4.547176
-50.023389,20,4.558909
-51.74442,26,4.570393
-56.517325,38,4.593999
-47.957056,6,4.597161
-51.67865,51,4.619575
-89.817798,142,4.698048
-144.39583,434,4.974246
-54.472136,230,5.111389
-69.290351,112,5.247321
-80.617962,155,5.344015
-50.070319,7,5.354968
-80.093308,117,5.409565
498.094272,77,5.445848
-50.91022,47,5.467882
-48.91466,7,5.474
-150.786966,329,5.669994
-47.65,3,5.671778
-42.198403,76,5.709009
-92.401828,79,5.751159
-70.492258,156,6.241756
-80.058988,185,6.33673
