#{"t_start": 1764136535.040021, "env_id": "CityDrone-v0"}
r,l,t
-55.933981,15,1.143848
-61.8888,19,1.153415
-52.9,5,1.156056
-51.5,3,1.157999
-50.1,1,1.178221
-49.7888,3,1.182759
-50.4,3,1.185061
-50.1,1,1.185875
-50.8,2,1.188491
-113.759884,143,1.260378
-49.665737,3,1.262296
-268.027952,233,1.374576
-51.356726,5,1.379295
-52.5,6,1.382292
-52.5,3,1.383953
-50.1,1,1.384664
-55.270505,12,1.391265
-54.9,8,1.395016
-56.815683,8,1.399487
-51.59902,3,1.40108
-49.478586,2,1.403251
-61.875579,18,1.4112
-51.5,3,1.413269
-59.863758,15,1.419962
-51.868359,5,1.4234
-61.561026,26,1.43503
-52.262258,4,1.437024
-51.5,3,1.438569
-54.393444,11,1.444397
-50.857929,2,1.445564
-51.1,4,1.447727
-83.386508,45,1.467997
-50.1,1,1.469795
-51.54845,3,1.471368
-50.614835,10,1.475875
-67.614719,10,1.480662
-51.5,3,1.483298
-50.8,2,1.484383
-50.1,1,1.48515
-58.14003,17,1.49285
-50.8,2,1.495393
-50.842796,2,1.496645
-53.9,8,1.500301
-51.342641,7,1.503553
-50.8,2,1.505949
-52.243769,4,1.508
-48.965737,2,1.509153
-64.237114,20,1.518879
-71.9,36,1.538624
-52.868653,8,1.542272
-52.2,4,1.544651
-63.707151,27,1.556117
-51.5,3,1.558943
-61.808204,7,1.562585
-213.976961,232,2.56244
-58.232517,14,2.568958
-241.938681,232,2.682566
-76.044632,36,2.697566
-52.2,4,2.699396
-51.78011,3,2.70087
-53.96986,9,2.707031
-263.428175,243,2.815181
-50.1,1,2.815894
-144.96086,83,2.851975
-253.680741,68,2.884377
-54.353228,14,2.890571
-51.423073,5,2.892937
-59.4,13,2.898777
-50.1,1,2.900934
-51.1,1,2.901836
-55.3,7,2.904858
-50.1,1,2.905606
-57.555053,16,2.913525
-50.1,1,2.914231
-50.8,2,2.915346
-53.972136,6,2.918114
-51.8,2,2.920206
-50.335346,4,2.922604
-61.5,13,2.928421
-185.24949,75,2.961287
-50.1,1,2.963345
-51.545361,3,2.96481
-52.274736,7,2.967877
-50.8,2,2.968979
-51.5,3,2.971438
-50.1,1,2.97221
-53.9,5,2.974749
-55.6,6,2.977502
-58.971573,17,2.987061
-54.636106,12,2.992628
-60.31803,30,3.005279
-72.548469,41,4.270308
-52.412216,5,4.27394
-50.1,1,4.274644
-52.9,5,4.277455
-51.8,2,4.278927
-55.723106,12,4.285988
-56.6,9,4.290907
-51.8,2,4.292057
96.3,13,4.29892
-59.3,16,4.307102
-74.834483,12,4.312695
-52.531179,7,4.315802
-53.948912,8,4.319701
-58.452697,23,4.331158
-53.5,6,4.334159
-51.544632,3,4.335643
-70.23029,13,4.34133
-53.636106,6,4.348451
-52.5,3,4.353953
-62.053515,16,4.364063
-52.499086,9,4.368073
-213.366188,237,4.48452
-54.9,8,4.488083
-52.958322,5,4.490994
-52.24813,9,4.495631
-50.4,3,4.498662
-50.1,1,4.499479
-73.433981,22,4.509769
-50.833981,6,4.512953
-51.7,8,4.517885
-50.8,2,4.519074
-54.1888,8,4.522715
-52.5,3,4.524233
-53.8,8,4.529326
-54.062278,8,4.533393
-50.650124,5,4.535841
-52.8,5,4.539011
-54.6,6,4.543022
-67.675445,7,4.546408
-59.0,11,4.551316
-55.240823,9,4.555267
-198.692875,52,4.579141
-49.218436,2,4.580698
-57.9,17,4.588556
-67.663932,23,4.598502
-53.548912,6,4.602502
-54.20508,5,4.604788
-54.8,11,4.60959
-50.4,3,4.611289
-48.7,2,4.613813
-51.5,3,4.615387
-78.571769,30,4.628049
-52.969048,8,4.632469
-50.1,1,4.634413
-61.849876,17,4.641964
-53.535136,9,4.646492
-56.357929,7,4.649658
-52.571068,6,4.653417
-68.2,26,4.664859
-50.1,1,4.665565
-51.737975,4,4.667489
-68.691796,23,4.678411
-50.292022,4,4.680781
-60.653082,17,4.688928
-55.2,7,4.692174
-50.1,1,4.694102
-50.1,1,4.69491
-213.858903,227,5.804128
-71.051142,36,5.819666
-61.523057,16,5.827738
-91.922784,26,5.841073
-51.5,3,5.84258
-50.1,1,5.843377
-67.8,30,5.857144
-51.307924,7,5.860311
-56.71044,15,5.867209
-50.1,1,5.867929
-266.230146,239,5.973208
-51.816625,3,5.974678
-54.955048,8,5.978314
-58.437722,12,5.983661
-50.1,1,5.986249
-50.1,1,5.987072
-51.042641,5,5.989415
-51.858322,2,5.990612
-60.440893,19,6.000334
-58.7,12,6.00599
-53.2,4,6.007977
-49.7,5,6.010647
-50.8,2,6.013122
-54.3,7,6.016621
-54.9,5,6.02078
-221.9,237,6.141949
-54.862278,5,6.148088
-59.755048,18,6.15847
-50.1,1,6.159256
-52.679766,6,6.162606
-53.521505,9,6.169627
-59.0,8,6.173326
-50.1,1,6.174599
-50.855385,2,6.176905
-50.1,1,6.180817
