#{"t_start": 1764241408.700037, "env_id": "CityDrone-v0"}
r,l,t
-96.719673,46,1.190604
-54.2,4,1.196585
-58.85,7,1.204843
-46.092641,4,1.209868
-42.750709,6,1.21662
-43.873074,3,1.220261
-84.05,41,1.279258
413.95,81,1.384748
-79.214089,28,1.417902
-50.05,1,1.419576
-50.05,1,1.42112
-55.952278,21,1.455965
-46.167379,78,1.550715
-87.013666,146,1.716793
-51.05,1,1.718256
-51.1,2,1.720714
-44.915528,6,1.727684
-118.296959,169,1.933697
-50.05,1,1.935879
-49.565528,9,1.947858
-54.4,8,1.959542
-52.1,2,1.962159
-64.968486,39,2.009153
-51.75,5,2.015123
-90.75,55,2.085623
-125.470404,189,2.294694
-62.85,17,2.313442
-126.880847,61,3.358633
-46.918632,15,3.375304
-53.7,4,3.380119
-48.814553,10,3.391346
-107.887219,96,3.512749
-50.05,1,3.514387
-52.15,3,3.518077
-66.28034,12,3.532993
-411.868944,192,3.785629
-73.455339,42,3.860928
-44.736187,3,3.865353
-224.224176,223,4.181024
-50.05,1,4.182696
-52.65,3,4.187263
-74.05,21,4.219457
-55.75,5,4.226959
-51.1,2,4.230213
-39.986187,8,4.239578
-55.25,5,4.246477
-55.2,4,4.250985
-92.7,74,4.339117
-24.05,31,4.373417
-40.086648,23,4.401046
-47.549378,6,4.407689
-52.65,3,4.411596
-29.748352,12,4.426121
-41.550709,2,4.428785
-52.15,3,4.432537
-58.1,12,4.44925
-71.397787,25,4.483257
-47.771068,4,4.488157
-54.2,4,4.493637
-50.05,1,4.495251
-142.499451,198,8.418537
-43.890291,50,8.487543
-50.05,1,8.489134
-80.471678,16,8.509569
-32.220893,27,8.545815
-50.291721,9,8.558027
-56.8,6,8.565471
-26.625001,16,8.585749
-60.5,10,8.598016
-52.15,3,8.602821
-50.05,1,8.604271
-53.277756,15,8.622951
-52.65,3,8.626813
-51.1,2,8.629293
-55.2,4,8.635084
-119.978349,71,8.718017
-60.1,12,8.731556
-51.984854,40,8.775659
-52.65,3,8.779438
-124.536418,122,8.912329
-47.032517,9,8.922444
-50.05,1,8.923934
-29.822244,7,8.931658
-108.894082,33,8.968059
-51.1,2,8.970478
-125.9,98,9.090099
-50.05,1,9.091561
-60.45,9,9.104124
-49.388711,14,9.122179
-50.05,1,9.123608
510.971068,2,9.126199
-107.25461,61,9.218488
-54.25,5,9.225024
-103.875824,89,9.337701
-50.05,1,9.339317
-61.9,18,9.383639
-51.6,2,9.387054
-51.25,5,9.395159
-54.7,4,9.400022
-54.7,4,9.404841
-65.75,15,9.423306
-50.05,1,9.427208
-51.1,2,9.429987
-52.15,3,9.433702
-62.35,17,9.453583
-60.95,9,9.465167
-52.1,2,9.468069
-50.05,1,9.469599
-50.05,1,9.471111
-58.828149,20,9.495945
-51.6,2,9.499171
-197.430217,65,9.582245
-65.25,15,10.901084
-55.9,8,10.91108
-74.45974,30,10.953066
-50.05,1,10.95456
-50.05,1,10.955964
-52.65,3,10.959616
-144.510282,37,11.004428
-50.05,1,11.005904
-164.078999,48,11.070914
-207.203865,360,11.531154
-52.15,3,11.535619
-250.678866,92,11.654797
-65.163666,79,11.749842
