#{"t_start": 1764136921.485908, "env_id": "CityDrone-v0"}
r,l,t
-57.015492,11,1.310461
-48.805055,5,1.321878
-51.5,3,1.325869
-54.487948,7,1.340406
-55.918888,10,1.353625
-53.5,3,1.357141
-50.935841,4,1.361854
-71.75621,25,1.389136
-54.998451,13,1.403757
-50.562278,3,1.407226
-51.060558,7,1.415223
-58.775837,19,1.435355
-54.134457,15,1.450854
-81.262298,19,1.478085
-52.5,3,1.481999
-140.362171,66,1.557818
-72.244975,71,1.642304
-83.277827,64,1.708079
-50.1,1,1.70951
-52.2,4,1.713895
-50.1,1,1.715296
-98.381385,59,1.779264
-53.419544,7,1.787176
-56.039859,16,1.804105
-86.44734,24,1.829034
-50.8,2,1.831457
-68.919848,24,1.856849
-53.570505,8,1.865861
-95.719317,71,1.941579
-55.981738,9,1.951075
-132.4,130,2.113033
-57.562258,18,2.136115
-58.502258,16,2.15456
-52.2,4,2.159317
-50.1,1,2.160854
-118.519544,86,2.260146
-54.6,6,2.26791
-59.309569,18,2.287857
-50.849876,2,2.290494
-50.8,2,2.29316
-85.8,67,2.362432
-55.1314,9,2.371872
-50.70972,3,2.375298
-306.1,111,4.23895
-73.423218,37,4.276783
-67.963068,42,4.320295
-120.872077,19,4.340296
-50.1,1,4.341724
-54.799495,8,4.35016
-51.8,5,4.355512
-50.8,2,4.357893
-56.494392,14,4.372393
-55.310405,9,4.381825
-60.1,11,4.393252
-53.564219,14,4.407768
-59.2,16,4.424192
-53.733899,2,4.426689
-95.155295,49,4.477121
-68.142641,44,4.521465
-122.885627,22,4.543876
-48.763349,3,4.547251
-50.1,1,4.548643
-72.489839,35,4.585273
-54.6,9,4.594665
-51.5,3,4.598062
-54.6,6,4.60459
-50.845361,2,4.607021
-50.411378,4,4.611379
-51.900307,6,4.617921
-50.8,2,4.620329
-107.117475,23,4.644768
-53.516625,7,4.652145
-50.1,1,4.653554
-50.1,1,4.655221
-52.424929,5,4.661096
-88.174736,52,4.715098
-51.8,2,4.717737
-50.1,1,4.720216
-55.6,12,4.732962
-50.8,2,4.73535
-50.1,1,4.736751
-52.9,5,4.742099
-54.424086,3,4.745474
-51.5,3,4.748832
-54.2,7,4.756204
-51.5,3,4.759741
-69.441657,23,4.784324
-53.275882,13,4.798201
-52.5,3,4.801776
-64.08011,21,4.82323
-49.341438,4,4.82764
-59.0,17,4.84613
-52.2,7,4.853887
-67.121505,29,4.884119
-50.168344,7,4.891533
-50.30098,3,4.894961
-55.9,8,4.903344
-50.1,1,4.90474
-50.1,1,4.906172
-50.1,1,4.907568
-51.5,3,4.911055
-54.8,8,4.919649
-50.1,1,4.921062
-50.4,3,4.92445
-50.8,2,4.926836
-53.173065,6,4.933626
-50.1,1,4.935074
-51.1,1,4.936507
-53.9,5,4.942086
-54.661319,11,4.953508
-53.2,4,4.957918
-50.8,2,4.960318
-96.130094,92,5.053566
-50.814214,6,5.059914
-50.1,1,5.061308
-138.3,72,5.134403
-52.319535,4,5.138767
-53.8,5,5.144277
-50.1,1,5.145689
-54.8,11,5.156976
-58.0,14,5.171706
-86.585353,19,5.191332
-52.8,5,5.197683
-80.397294,22,5.220097
-56.913705,21,5.241595
-50.491609,4,7.13326
-49.535841,2,7.136494
-56.0,8,7.145507
-55.00881,4,7.149931
-50.8,2,7.152499
-50.1,1,7.153913
-49.457733,2,7.156304
-50.1,1,7.157699
-54.5,9,7.167304
-49.510988,2,7.1724
