#{"t_start": 1764171303.8332841, "env_id": "CityDrone-v0"}
r,l,t
-52.012584,8,1.133449
-57.817986,23,1.161823
-55.880576,32,1.2022
-64.707749,30,1.242156
-94.73029,94,1.392398
-52.878249,13,1.408334
-62.762818,32,1.449246
-69.691203,37,1.492281
-93.758899,77,1.581341
-115.462258,107,1.702261
-54.337048,16,1.721085
-72.548469,32,1.756606
-50.712989,11,1.76933
-57.54813,29,1.801354
-219.054204,242,2.078442
-209.2,235,3.656508
-71.5928,73,3.759267
-56.671573,12,3.774355
-71.938326,33,3.818906
-50.865021,7,3.827782
-54.1,10,3.841551
-65.279451,40,3.891119
-240.156177,245,4.219466
-51.660565,17,4.239126
-47.497275,5,4.244487
-54.471683,7,4.252496
-100.720142,119,4.39431
-62.915693,40,4.446618
-58.5,12,4.45967
-110.999119,118,4.59246
-54.042326,7,4.6002
-54.494449,10,4.612215
-63.591796,28,4.642569
-47.805905,4,4.646994
-54.862298,17,4.665657
-54.368552,11,4.678112
-48.6,8,4.68698
-96.962278,110,4.813907
97.528427,11,4.828791
-56.600571,24,4.857243
-130.292359,165,7.593923
-126.925802,200,8.01904
-413.637742,241,8.290692
-265.3,231,8.554879
-50.095895,6,8.561854
-142.036364,211,9.494081
-89.314835,78,9.629821
-133.92978,193,9.850293
-59.963932,30,9.88405
-55.811513,25,9.911353
-48.596876,4,9.916414
-56.305905,15,9.933541
-65.353117,41,9.978387
-420.891245,216,10.2265
-68.915693,41,10.27433
-143.2,187,10.504888
-50.523106,6,10.512543
-55.274008,15,10.530105
-54.4134,13,10.545267
-57.273832,15,10.563931
-51.689399,7,10.572488
-78.619848,53,10.638693
-178.196876,219,12.448669
-53.782763,14,12.467414
-54.136068,8,12.47887
-114.952591,169,12.690961
-49.807641,3,12.694509
-52.972179,16,12.711829
-59.079766,20,12.734118
-157.2,90,12.834277
-82.895446,73,12.916829
-78.17564,85,13.023097
-93.690129,74,13.111918
-237.047165,191,13.317571
-57.312962,16,13.335158
-50.51966,5,13.340885
-55.413453,18,13.360098
-53.452932,14,13.375501
-48.210098,5,13.381038
-56.978146,20,14.09233
-132.894793,182,14.323464
-154.711471,232,14.579328
-235.867099,235,14.832385
-187.056693,218,15.066421
-124.084074,91,15.164566
-71.286618,45,16.001422
