#{"t_start": 1764137361.604599, "env_id": "CityDrone-v0"}
r,l,t
-175.485809,107,1.133912
-128.323853,69,1.204837
-80.897675,41,1.246888
-70.398033,45,1.29428
-68.014097,17,1.312136
-133.682094,86,1.400494
-204.818206,154,1.559435
-54.01223,18,1.578073
-207.482576,54,1.632763
-84.578834,79,1.716756
-58.654451,15,1.732857
-126.249964,35,1.768387
-237.356854,239,2.009127
-80.380741,17,2.027036
-124.651811,154,3.13579
-222.219689,229,3.366097
-232.11025,75,3.442443
-111.890816,50,3.494272
-119.555385,107,3.601449
-247.607494,198,3.801809
-65.42967,34,3.836262
-229.370361,231,5.633739
-170.043862,130,5.789828
-307.137874,221,6.031271
-263.101961,246,6.282791
-148.968359,121,6.404208
-69.463437,30,6.439911
-140.979546,96,6.536932
-65.674599,38,6.574934
-60.742006,26,6.601259
-83.50487,76,7.957049
-187.455676,183,8.282168
-246.2,237,8.671621
-218.52967,226,8.953374
-114.487256,27,8.981897
-264.168359,243,9.227486
-161.0,69,10.386269
-402.842641,216,11.804361
-97.56737,103,11.925191
-149.499883,138,12.080144
-204.373861,239,12.369025
-225.559335,222,12.638069
-60.655053,30,12.688769
-216.997347,231,14.31579
-79.092915,81,14.4077
-224.285126,233,14.656188
-90.128932,31,14.689725
-209.60098,232,14.938067
-243.410628,227,16.507175
-107.634464,119,16.63122
-264.082763,157,17.787506
-209.054463,99,17.914666
-140.59121,50,17.993967
-226.857929,237,18.229849
-217.732051,239,18.470212
-218.472136,232,20.419563
-167.317475,216,20.693069
-210.473674,227,20.934305
-175.939205,175,21.120126
-71.844378,37,21.158874
-238.243769,226,22.426997
-69.109156,17,22.449335
-234.249876,236,23.77628
-141.482576,186,23.964504
-227.406644,225,24.189614
-229.703929,218,24.408437
-275.196876,214,25.43679
-82.688305,75,25.511899
-208.703425,219,25.735293
-195.444358,227,25.971883
-221.453687,217,26.190224
-207.846257,219,26.939211
-79.276478,69,27.010472
-242.284508,228,28.237487
-229.925999,252,28.517684
-229.077477,241,28.760018
-290.017237,229,29.925055
-242.993428,211,30.136995
-230.941657,241,30.379444
-244.32775,257,30.641209
-250.689977,258,32.128599
-278.015909,226,32.366892
-67.3,63,33.404397
-209.764159,229,33.637673
-277.153641,233,33.871901
-157.743465,232,35.479732
-231.91973,224,35.708951
-62.681533,28,35.738115
-222.366628,249,35.991898
-141.724038,70,36.06403
-224.82879,189,36.257998
-218.77033,220,37.957617
-251.266924,265,38.231
-102.127636,146,39.35138
-184.019165,222,39.583573
-141.906624,180,39.765682
-236.945,224,40.610788
-222.745787,214,40.832168
-287.357439,229,41.06282
-147.586192,199,41.266228
-198.055136,231,41.495509
-169.07033,212,42.652751
-188.927463,209,42.861395
-243.830517,209,44.0273
-246.106624,234,44.260323
-86.761202,118,44.378183
-199.032112,208,45.954808
-142.132944,52,46.006476
-81.43445,118,46.125787
-211.234488,222,46.347997
-233.056854,244,46.595957
-281.088897,228,46.826075
-242.865737,218,47.658426
-177.386211,223,47.880614
-120.785281,166,49.003503
-194.343938,210,49.214221
-230.9,243,50.43269
-133.88011,180,50.660044
-124.844615,91,50.754967
-217.842641,229,50.986076
-123.216351,171,51.164794
-200.943769,208,51.372105
-196.421971,232,53.11987
-256.635136,273,53.389973
-153.055136,175,54.515624
-107.634061,97,54.612391
-98.587079,103,54.715443
-119.213815,137,54.851154
-227.812382,255,55.913318
-198.728427,212,56.126667
-67.280437,48,56.175454
-195.757929,213,56.398733
-107.052591,46,56.444783
-200.885079,212,56.662967
-234.21025,181,57.51153
-122.799086,159,57.675996
-127.17379,169,57.845568
-165.248549,238,59.084487
-204.694495,234,59.318984
-125.8,151,60.785874
-104.219912,140,60.930938
-155.565707,202,61.131481
-224.859755,210,61.343882
-52.877675,42,61.385935
-186.788897,139,61.528277
-132.859339,138,61.66479
-106.265676,30,61.696003
38.7,175,63.256655
-230.9,240,63.497132
-191.34808,206,64.65349
-54.377354,21,64.67475
-53.01147,19,64.698057
-193.9,215,64.916153
-106.549684,158,65.072738
-201.77777,225,65.783164
-279.288198,210,65.997491
-65.9,41,66.03862
-121.916706,185,66.225363
-233.511103,214,66.442837
-188.334103,209,67.149213
-77.580437,66,67.216641
-111.736742,134,67.350038
-95.602325,77,67.427459
-176.346211,205,67.640693
-70.08167,55,67.696741
-79.526796,74,69.028598
-75.27381,56,69.085031
-227.300851,209,69.295575
-141.162278,188,70.472577
-193.8,223,70.696438
-120.449964,179,70.883341
-73.123578,32,70.915954
-226.061576,220,71.150769
-185.523014,212,71.985519
-203.6,224,72.211349
-78.902208,82,72.292915
-103.012,147,72.440201
-172.61223,187,72.63281
-96.31966,41,73.698539
-136.979435,193,73.896519
-97.236722,147,74.669972
-191.917201,211,74.885654
-179.451476,193,75.078161
-160.842801,200,75.291881
-157.130952,197,75.49657
-127.037742,184,76.159803
-84.671068,93,76.256939
