episode,r,l
0,-105.8245553203368,92
1,-201.84865031699303,142
2,-49.98137996659739,8
3,-52.16393202250021,12
4,-117.19297415748198,134
5,-218.30000000000018,223
6,-87.02036170713461,69
7,-230.29375152513455,247
8,-224.4990166996546,92
9,-77.05599625468247,35
10,-220.9281380996552,231
11,-324.8780626195784,213
12,-219.74629517608614,143
13,-54.22649953210489,13
14,-52.432690613635366,14
15,-80.76410161513775,64
16,-158.74790592125078,57
17,100.8142135623731,4
18,-225.83205080756903,233
19,-212.50204574340745,229
20,-55.3872120826148,16
21,-66.28352712324718,37
22,-72.26208873592635,56
23,-103.08422689413614,122
24,-69.12862662780267,47
25,-154.41134052479356,70
26,-86.16662760731155,21
27,-296.87908816025913,221
28,-101.31807394855747,124
29,-52.62496542657181,17
30,-57.094448724536015,20
31,-46.11115682773316,28
32,-70.44630014280875,57
33,-52.358405421207706,15
34,70.1231056256177,75
35,-101.08614206741717,112
36,-125.09589527615995,27
37,-190.69765364145655,224
38,-68.29446304475343,41
39,51.99999999999999,65
40,-53.890453833880954,37
41,-166.3053604510431,84
42,-205.34264068711957,229
43,-66.1642386329828,27
44,-80.70820393249936,73
45,-54.04400374531753,12
46,-210.69444872453616,233
47,-98.26110012795682,110
48,-52.63385053542219,12
49,-86.23606797749979,31
50,-91.2930281852738,96
51,-63.07883371561851,40
52,-201.72544138618335,158
53,-111.34882118103124,134
54,-201.805054508277,229
55,-61.200558901220504,22
56,-191.9604126116829,217
57,-55.648121370129516,19
58,-84.58725554898189,93
59,-59.47179016484971,21
60,-52.03774225170145,10
61,-62.46981068795696,44
62,-57.07355427354682,42
63,-47.98889744907202,9
64,-116.35241936533728,142
65,-231.95879717800796,218
66,-54.64264068711929,15
67,-92.9737903173314,25
68,-206.65446341671907,230
69,-211.86262011760067,240
70,-49.800000000000004,16
71,-240.4996460413923,240
72,-107.03004709711477,120
73,-280.9801098892804,89
74,-50.519768165959654,10
75,-78.66682964752631,23
76,-161.60820393249958,214
77,-101.25029863375869,138
78,-79.97037557004268,90
79,-108.18204056970174,130
80,-60.662785525832376,28
81,-90.38982612255161,49
82,-222.88153286596804,238
83,-55.588618607180116,16
84,-464.61316701949437,231
85,-55.27264273086148,15
86,-63.39901951359278,65
87,-187.74859456289923,208
88,-223.27157287525395,239
89,-158.3411575975519,40
90,-58.28808848170152,23
91,-235.5448760877635,234
92,-103.85942391975993,119
93,-71.23199565277362,59
94,-214.4289321881347,227
95,-71.52989623610115,52
96,-194.13431297063158,225
97,-307.64987562112066,228
98,-64.39081558109342,48
99,-82.9,68
100,-67.01963697304909,29
101,-227.79952176304292,169
102,-57.54710355080473,16
103,-58.239392014169454,9
104,-74.44192618672724,49
105,-52.35422570606775,16
106,-68.13672851782322,53
107,-190.40000000000012,219
108,-182.09367462314611,220
109,-49.001068143134106,11
110,-130.7159735399983,194
111,-72.80583010719296,59
112,-76.28045554270712,57
113,-60.48257569495584,29
114,-261.4980574175408,228
115,-62.796875762567154,42
116,-224.35509999850095,158
117,-60.971572875253806,29
118,-209.81414464119297,234
119,-255.22881562103055,223
120,-189.79179606750074,219
121,-279.11091001859484,227
122,-50.25963421678027,21
123,-69.98656543865893,51
124,-196.04893250555116,224
125,-61.623014348152324,30
126,-62.92031794665729,42
127,-116.4873295964482,156
128,-49.300000000000004,15
129,-71.97106781186548,30
130,-53.4,18
131,-198.28442337942863,192
132,-56.672642730861476,17
133,-58.443627146255196,22
134,-345.45776019407197,220
135,-56.82106261803699,16
136,-285.67032961426867,215
137,-53.91140743755241,18
138,-61.22973596401265,36
139,-217.5000000000001,235
140,-49.839571999279535,11
141,-213.16948329796443,223
142,-51.17491513122785,17
143,-65.653311452041,33
144,-71.6108161335996,35
145,-58.25764066760229,32
146,-200.4000000000002,225
147,-76.26025403784439,39
148,-70.32967038573098,77
149,-64.25330544720157,37
150,-155.78797183143038,120
151,-51.2599148525693,13
152,-66.8011219196323,57
153,-64.08244382584367,31
154,-83.38257569495582,60
155,-67.46131853926232,39
156,-64.6036782597428,53
157,-49.86644376918861,43
158,-197.54165738677406,226
159,-55.055702132564846,15
160,-54.730951894845305,5
161,-68.18889744907202,50
162,-58.80820393249937,11
163,-52.35961862726043,16
164,-121.64375819308015,41
165,-68.4407672845692,43
166,-64.61009821065826,37
167,-60.80820393249937,28
168,-134.70555127546416,174
169,-225.9000000000002,233
170,-93.13095189484531,81
171,-146.8567263847044,46
172,-158.34463227282293,97
173,-63.06901171756673,20
174,-60.93606797749979,18
175,-111.50000000000006,73
176,-51.142077607373515,18
177,-94.02497216032182,17
178,-55.49202606571906,24
179,-74.07560774329586,84
180,-52.94461486186258,19
181,-50.7,5
182,-65.64490996314258,56
183,-61.01150788309037,18
184,-109.98422689413616,133
185,-81.84360676619588,28
186,-324.56253079783835,231
187,-63.89901951359278,38
188,-51.591107936755435,18
189,-69.0229225582608,33
190,-240.0615951895947,228
191,-57.20555127546399,26
192,-59.06502112968831,30
193,-60.7951835642598,53
194,-54.43010822510974,12
195,-207.90000000000018,234
196,-195.1283915617434,223
197,-134.04117157576448,159
198,-103.00000000000006,79
199,-90.68099595512726,88
