episode,r,l
0,-31.850248757758216,39
1,-52.73668826997204,8
2,-49.727864045000416,34
3,-57.70036120567971,33
4,-44.24456830728916,46
5,-92.18908891458575,135
6,-48.307670638643906,14
7,-47.6915033971288,6
8,-35.38756772396394,53
9,-46.792384381489164,25
10,-67.49872004644135,59
11,-52.9641881860984,60
12,-42.099999999999994,12
13,-47.907864376269046,41
14,-49.032876818210354,67
15,-57.42582664038225,54
16,-45.87594106343717,4
17,-51.56624879111969,13
18,-50.624703905837826,8
19,-69.82786404500042,56
20,-88.7576706386439,203
21,-81.642500647985,173
22,-174.475522522238,443
23,-273.281843737128,285
24,-67.5815693958201,142
25,-67.88064357072213,125
26,-53.1373882930935,52
27,-43.282215873510864,24
28,-73.69502140558481,57
29,-48.07004824190031,21
30,-218.70810763159864,230
31,-63.38141043722753,154
32,496.9221359549996,41
33,-96.84998961234302,125
34,-39.52802366216643,41
35,-76.62519592190505,87
36,-111.18050331561172,403
37,-165.41072605390156,445
38,-36.9016121642213,20
39,-37.5711434973194,45
40,-84.76673961719968,156
41,-48.17198744386214,43
42,-57.95786437626904,92
43,-51.20241936533718,37
44,-56.59353872109275,79
45,-49.539698687834644,26
46,-128.1297991508009,436
47,-82.85589287593183,61
48,-84.18908891458574,115
49,-40.96152532685805,18
50,-55.098792558223195,107
51,-72.65,123
52,-71.00378874876469,75
53,-46.08731019422871,51
54,-64.39300239172957,161
55,-54.59604725188004,25
56,-37.359940567134785,126
57,-57.48521984810633,150
58,-89.73324958071078,42
59,-53.06953250354852,17
60,-56.49566193208177,25
61,504.0284271247462,6
62,-48.45270175572678,137
63,-94.50817632051931,105
64,-47.666443589457835,14
65,-58.7,94
66,-49.04179055231987,13
67,-49.68954629480099,21
68,-65.95423819929377,60
69,-41.597705875786495,41
70,-49.59262145700945,243
71,-50.73970837453069,50
72,-19.896038468095465,164
73,-46.21281542173457,77
74,-75.97220510185596,171
75,-49.98331000383703,286
76,506.25,5
77,-51.656854249492376,20
78,-70.59911064067352,69
79,-54.33083151964686,29
80,-66.59975124224185,120
81,-68.8606797749979,70
82,-108.57087044413146,95
83,-50.803043531321876,29
84,-47.637038329475466,45
85,-44.37979039644628,45
86,-39.17104681835405,293
87,-31.640071827716685,84
88,-68.86766409698815,29
89,-55.73322995771431,27
90,-212.34082707824018,264
91,-44.578409139587876,10
92,-87.54774983865681,68
93,-48.14756854353049,34
94,-39.331772872255826,63
95,-63.10773875752704,129
96,-74.35409148681458,123
97,-31.624659192896228,101
98,-46.77301576618073,25
99,-70.63385237345457,417
100,-80.92600148656337,34
101,-51.8317329782686,23
102,-57.798979485566356,8
103,-44.191485428901395,40
104,-58.87840913958789,196
105,511.0,10
106,-95.98636152586823,308
107,-50.10392194562886,10
108,-66.27737546980593,36
109,-53.59412783137191,84
110,-34.50797289483296,27
111,-40.136291501015236,29
112,-149.35167809266784,56
113,-46.72589698041452,15
114,-58.84992877478423,56
115,-36.35458542313471,140
116,-42.45087534175695,18
117,-186.24979454600566,90
118,-34.6897083745307,129
119,-45.26741799177541,53
120,-100.57617696340293,142
121,-37.965151389911675,6
122,-35.79552035315402,22
123,-55.549668870541495,79
124,-33.41338694733578,88
125,531.4102916254693,17
126,-101.20126388197414,40
127,-47.53724547174878,18
128,-77.37380757938121,121
129,-47.623942295730146,19
130,-44.972334244272254,10
131,-42.948667282982555,17
132,-29.03688876853259,29
133,-39.44314575050762,22
134,-58.353642419002256,16
135,-44.27113086397526,3
136,-44.49739405194322,12
137,-50.30465053408525,52
138,-31.43654782970169,14
139,-74.51067977499797,143
140,-10.890600178560675,226
141,-48.60890291504598,125
142,-49.62811579025794,22
143,-48.8745154965971,5
144,-67.67617696340304,54
